Rank,City,State,Population(2017),Population(2010),Change(%),Land Area(sq mi),Land Area(sq km),Popuation Density(sq mi),Popuation Density(sq km),Coordinates,Time Zone,Official Website
153,Eugene,Oregon,"171,245","156,185",9.64,44.1,114.2,"3,777","1,458",440324N 1230658W  44.0567N 123.1162W  44.0567; -123.1162 ,UTC7,http:www.eugene-or.gov
156,Springfield,Missouri,"168,122","159,498",5.41,82.3,213.2,"2,033",785,371139N 931729W  37.1942N 93.2913W  37.1942; -93.2913 ,UTC5,http:www.springfieldmo.gov
162,Lakewood,Colorado,"156,798","142,980",9.66,42.9,111.1,"3,599","1,390",394156N 1050703W  39.6989N 105.1176W  39.6989; -105.1176 ,UTC6,http:www.ci.lakewood.co.us
163,Clarksville,Tennessee,"156,794","132,929",17.95,98.3,254.6,"1,529",590,363359N 872043W  36.5664N 87.3452W  36.5664; -87.3452 ,UTC5,http:www.cityofclarksville.com
168,Pasadena,Texas,"153,219","149,043",2.80,43.5,112.7,"3,525","1,361",293931N 950902W  29.6586N 95.1506W  29.6586; -95.1506 ,UTC5,http:www.ci.pasadena.tx.us
170,Macon,Georgia,"153,095","91,351",67.59,249.3,645.7,612,236,324832N 834139W  32.8088N 83.6942W  32.8088; -83.6942 ,UTC4,http:maconbibb.us
176,Joliet,Illinois,"148,099","147,433",0.45,64.4,166.8,"2,302",889,413104N 880856W  41.5177N 88.1488W  41.5177; -88.1488 ,UTC5,http:www.cityofjoliet.info
177,Bellevue,Washington,"147,599","122,363",20.62,33.5,86.8,"4,221","1,630",473552N 1220923W  47.5979N 122.1565W  47.5979; -122.1565 ,UTC7,http:www.bellevuewa.gov
179,Savannah,Georgia,"145,862","136,286",7.03,103.6,268.3,"1,417",547,320009N 810913W  32.0025N 81.1536W  32.0025; -81.1536 ,UTC4,http:www.savannahga.gov
182,Bridgeport,Connecticut,"144,900","144,229",0.47,16.1,41.7,"9,064","3,500",411115N 731145W  41.1874N 73.1958W  41.1874; -73.1958 ,UTC4,http:bridgeportct.gov
186,Midland,Texas,"142,344","111,147",28.07,74.4,192.7,"1,809",698,320129N 1020649W  32.0246N 102.1135W  32.0246; -102.1135 ,UTC5,http:www.midlandtexas.gov
188,Murfreesboro,Tennessee,"141,344","108,755",29.97,55.9,144.8,"2,360",910,355108N 862458W  35.8522N 86.4160W  35.8522; -86.4160 ,UTC5,http:www.murfreesborotn.gov
194,Thornton,Colorado,"139,436","118,772",17.40,35.7,92.5,"3,829","1,478",395510N 1045634W  39.9194N 104.9428W  39.9194; -104.9428 ,UTC6,http:www.cityofthornton.net
196,Denton,Texas,"138,541","113,383",22.19,93.4,241.9,"1,433",553,331300N 970829W  33.2166N 97.1414W  33.2166; -97.1414 ,UTC5,http:www.cityofdenton.com
199,Carrollton,Texas,"136,879","119,097",14.93,36.3,94.0,"3,674","1,419",325918N 965359W  32.9884N 96.8998W  32.9884; -96.8998 ,UTC5,http:www.cityofcarrollton.com
203,Hampton,Virginia,"134,313","137,436",2.27,51.5,133.4,"2,629","1,015",370253N 761750W  37.0480N 76.2971W  37.0480; -76.2971 ,UTC4,http:www.hampton.gov
208,Cedar Rapids,Iowa,"133,174","126,326",5.42,70.8,183.4,"1,852",715,415801N 914040W  41.9670N 91.6778W  41.9670; -91.6778 ,UTC5,http:www.cedar-rapids.org
212,Concord,California,"129,688","122,067",6.24,30.5,79.0,"4,221","1,630",375820N 1220006W  37.9722N 122.0016W  37.9722; -122.0016 ,UTC7,https:www.wikidata.orgwikiQ490441#P856
213,Kent,Washington,"129,618","92,411",40.26,33.7,87.3,"3,784","1,461",472317N 1221246W  47.3880N 122.2127W  47.3880; -122.2127 ,UTC7,http:www.kentwa.gov
216,Round Rock,Texas,"128,739","99,887",28.88,35.6,92.2,"3,396","1,311",303131N 973958W  30.5252N 97.6660W  30.5252; -97.6660 ,UTC5,http:www.roundrocktexas.gov
218,Lafayette,Louisiana,"126,143","120,623",4.58,53.8,139.3,"2,372",916,301227N 920143W  30.2074N 92.0285W  30.2074; -92.0285 ,UTC5,https:www.lafayettetravel.com
219,Athens,Georgia,"125,964","115,452",9.11,116.4,301.5,"1,060",410,335659N 832212W  33.9496N 83.3701W  33.9496; -83.3701 ,UTC4,http:www.athensclarkecounty.com
222,Fargo,North Dakota,"124,844","105,549",18.28,49.3,127.7,"2,450",950,465155N 964944W  46.8652N 96.8290W  46.8652; -96.8290 ,UTC5,http:www.cityoffargo.com
226,Wilmington,North Carolina,"122,607","106,476",15.15,51.6,133.6,"2,278",880,341233N 775309W  34.2092N 77.8858W  34.2092; -77.8858 ,UTC4,http:www.wilmingtonnc.gov
228,Victorville,California,"122,312","115,903",5.53,73.3,189.8,"1,668",644,343140N 1172113W  34.5277N 117.3536W  34.5277; -117.3536 ,UTC7,http:www.victorvilleca.gov
242,Rochester,Minnesota,"116,961","106,769",9.55,54.6,141.4,"2,088",806,440055N 922838W  44.0154N 92.4772W  44.0154; -92.4772 ,UTC5,http:www.rochestermn.gov
243,Independence,Missouri,"116,925","116,830",0.08,77.8,201.5,"1,504",581,390508N 942108W  39.0855N 94.3521W  39.0855; -94.3521 ,UTC5,http:www.indepmo.org
248,West Jordan,Utah,"116,046","103,712",11.89,32.3,83.7,"3,520","1,360",403609N 1120003W  40.6024N 112.0008W  40.6024; -112.0008 ,UTC6,http:www.westjordan.utah.gov
258,Miami Gardens,Florida,"113,069","107,167",5.51,18.2,47.1,"6,212","2,398",255656N 801437W  25.9489N 80.2436W  25.9489; -80.2436 ,UTC4,http:www.miamigardens-fl.gov
264,Pueblo,Colorado,"111,750","106,595",4.84,53.6,138.8,"2,058",795,381612N 1043644W  38.2699N 104.6123W  38.2699; -104.6123 ,UTC6,http:www.pueblo.us
266,Lowell,Massachusetts,"111,670","106,519",4.84,13.6,35.2,"8,129","3,139",423820N 711916W  42.6390N 71.3211W  42.6390; -71.3211 ,UTC4,http:www.lowellma.gov
268,West Palm Beach,Florida,"111,398","99,919",11.49,55.1,142.7,"1,963",758,264447N 800730W  26.7464N 80.1251W  26.7464; -80.1251 ,UTC4,http:wpb.org
273,Lakeland,Florida,"110,516","97,422",13.44,65.9,170.7,"1,615",624,280320N 815718W  28.0555N 81.9549W  28.0555; -81.9549 ,UTC4,http:www.lakelandgov.net
274,Gresham,Oregon,"110,158","105,594",4.32,23.3,60.3,"4,786","1,848",453008N 1222630W  45.5023N 122.4416W  45.5023; -122.4416 ,UTC7,http:www.greshamoregon.gov
276,Billings,Montana,"109,550","104,170",5.16,43.7,113.2,"2,525",975,454719N 1083300W  45.7885N 108.5499W  45.7885; -108.5499 ,UTC6,http:www.cityofbillings.net
278,Broken Arrow,Oklahoma,"109,171","98,850",10.44,61.7,159.8,"1,741",672,360211N 954652W  36.0365N 95.7810W  36.0365; -95.7810 ,UTC5,http:www.brokenarrowok.gov
281,Hillsboro,Oregon,"108,389","91,611",18.31,25.0,64.7,"4,207","1,624",453141N 1225609W  45.5280N 122.9357W  45.5280; -122.9357 ,UTC7,http:www.hillsboro-oregon.gov
285,Greeley,Colorado,"107,348","92,889",15.57,47.8,123.8,"2,176",840,402455N 1044611W  40.4153N 104.7697W  40.4153; -104.7697 ,UTC6,http:greeleygov.com
291,League City,Texas,"106,244","83,560",27.15,51.2,132.6,"1,992",769,292924N 950633W  29.4901N 95.1091W  29.4901; -95.1091 ,UTC5,http:www.leaguecitytx.gov
296,Wichita Falls,Texas,"104,576","104,553",0.02,72.2,187.0,"1,450",560,335424N 983133W  33.9067N 98.5259W  33.9067; -98.5259 ,UTC5,http:www.wichitafallstx.gov
301,Allen,Texas,"103,383","84,246",22.72,27.1,70.2,"3,715","1,434",330559N 963947W  33.0997N 96.6631W  33.0997; -96.6631 ,UTC5,http:www.cityofallen.org
304,Renton,Washington,"102,153","90,927",12.35,23.4,60.6,"4,314","1,666",472834N 1221131W  47.4761N 122.1920W  47.4761; -122.1920 ,UTC7,http:www.rentonwa.gov
306,South Bend,Indiana,"101,860","101,168",0.68,41.4,107.2,"2,457",949,414037N 861608W  41.6769N 86.2690W  41.6769; -86.2690 ,UTC4,http:www.southbendin.gov
312,San Angelo,Texas,"100,215","93,200",7.53,59.9,155.1,"1,681",649,312628N 1002702W  31.4411N 100.4505W  31.4411; -100.4505 ,UTC5,http:www.cosatx.us
313,Kenosha,Wisconsin,"100,164","99,218",0.95,28.0,72.5,"3,577","1,381",423456N 875044W  42.5822N 87.8456W  42.5822; -87.8456 ,UTC5,http:www.kenosha.org
